CONSENTRATIONS	step	temp	pH	H2S(aq)	HS-	Methane(aq)	Fe++	H2(aq)	NO3-	O2(aq)	NH4+	SO4--	MgSO4(aq)	CaSO4(aq)	KSO4-	HCO3-	MgHCO3+	NaHCO3(aq)	CO2(aq)
CONSENTRATIONS	67	2.0	7.913	2.813e-09	1.46e-08	1.89e-07	2.384e-10	3.501e-10	1.20000000029e-05	0.00031995	1.15495e-09	0.0278951049581	0	0.001389	0.0003461	0.002149	0	0	6.513e-05
CONSENTRATIONS	68	2.0	7.914	2.719e-09	1.414e-08	1.826e-07	2.304e-10	3.382e-10	1.20000000029e-05	0.00031995	1.11576e-09	0.0278951049481	0	0.001389	0.0003461	0.002149	0	0	6.499e-05
CONSENTRATIONS	69	2.0	7.915	2.631e-09	1.371e-08	1.766e-07	2.228e-10	3.272e-10	1.20000000029e-05	0.00031995	1.079583e-09	0.0278951049381	0	0.001389	0.0003461	0.002148	0	0	6.486e-05
CONSENTRATIONS	70	2.0	7.916	2.549e-09	1.331e-08	1.71e-07	2.158e-10	3.168e-10	1.20000000029e-05	0.00031995	1.045416e-09	0.0278951049291	0	0.001389	0.0003461	0.002148	0	0	6.474e-05
CONSENTRATIONS	71	2.0	7.916	2.472e-09	1.293e-08	1.658e-07	2.092e-10	3.071e-10	1.20000000029e-05	0.00031995	1.013258e-09	0.0278951049201	0	0.001389	0.0003461	0.002148	0	0	6.463e-05
CONSENTRATIONS	72	2.0	7.917	2.4e-09	1.257e-08	1.608e-07	2.029e-10	2.98e-10	1.20000000029e-05	0.00031995	9.8291e-10	0.0278951049121	0	0.001389	0.0003461	0.002148	0	0	6.452e-05
CONSENTRATIONS	73	2.0	7.918	2.332e-09	1.223e-08	1.562e-07	1.971e-10	2.893e-10	1.20000000028e-05	0.00031995	9.5447e-10	0.0278951049051	0	0.001389	0.0003461	0.002148	0	0	6.442e-05
CONSENTRATIONS	74	2.0	7.918	2.268e-09	1.192e-08	1.518e-07	1.915e-10	2.812e-10	1.20000000028e-05	0.00031995	9.27637e-10	0.0278951048981	0	0.001389	0.0003461	0.002148	0	0	6.432e-05
CONSENTRATIONS	75	2.0	7.919	2.208e-09	1.162e-08	1.477e-07	1.863e-10	2.735e-10	1.20000000028e-05	0.00031995	9.02311e-10	0.0278951048911	0	0.001389	0.0003461	0.002148	0	0	6.423e-05
CONSENTRATIONS	76	2.0	7.92	2.151e-09	1.133e-08	1.437e-07	1.813e-10	2.662e-10	1.20000000028e-05	0.00031995	8.78291e-10	0.0278951048841	0	0.001389	0.0003461	0.002148	0	0	6.415e-05
